,Star_ID,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__median,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum,quality__minimum,Boolean
1,TIC 169904935,234339264.3,2240.86578,2241.408554,104550,7.469776044,55.79755415,2241.421001,2254.071078,2254.071078,2228.755142,4118939412,39397.60547,39396.83799,104550,286.4240947,82038.76202,39397.87916,100266.3359,100266.3359,38805.64063,5034841.711,47.97631454,48.1572617,104550,1.430304968,2.045772303,48.17849756,88.30609894,88.30609894,47.64485931,22538546.8,215.5733839,215.5767269,104550,0.01840314,0.000338676,215.5767277,215.775403,215.775403,215.5167156,17294289.06,165.427374,165.4164424,104550,0.036575002,0.001337731,165.4164465,165.6095343,165.6095343,165.2284841,4.57956E+11,4377915.5,4380260.437,104550,32269.48207,1041319473,4380379.3,4434963,4434963,4325598,31806960,0,304.2272597,104550,2692.433491,7249198.102,2709.566815,33792,33792,0,0
1,TIC 231663901,24473032.27,1338.148836,1338.860565,18279,8.162776904,66.63092679,1338.885448,1353.180368,1353.180368,1325.300347,22313892.04,1221.376587,1220.739211,18279,12.67157799,160.5688889,1220.804976,1705.536865,1705.536865,1140.702271,83936.45809,4.582997322,4.591961163,18279,0.060958926,0.003715991,4.592365764,4.797793388,4.797793388,4.466750145,33809367.74,1849.625186,1849.628959,18279,0.013215764,0.000174656,1849.628959,1849.672973,1849.672973,1849.586802,27757124.78,1518.526404,1518.525345,18279,0.01011061,0.000102224,1518.525345,1518.55974,1518.55974,1518.480587,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,544,0,0.029760928,18279,3.790565988,14.36839051,3.790682817,512,512,0,0
1,TIC 114018671,1633197.611,1503.868503,1503.865204,1086,7.311769334,53.46197079,1503.882978,1516.076827,1516.076827,1491.660026,85810954.33,79016.90625,79015.61172,1086,34.29667424,1176.261864,79015.61916,79094.21094,79094.21094,78940.78906,8575.173726,7.896080256,7.896108403,1086,0.006734246,4.53501E-05,7.896111275,7.974297047,7.974297047,7.891215801,579507.7669,533.616225,533.6167283,1086,0.002596373,6.74115E-06,533.6167283,533.6299179,533.6299179,533.6073888,99578.71808,91.69192453,91.69311057,1086,0.012989392,0.000168724,91.69311149,91.71891776,91.71891776,91.66928548,14407791,13267,13266.84254,1086,350.963011,123175.0351,13271.48394,13853,13853,12681,0,0,0,1086,0,0,0,0,0,0,0
1,TIC 291555748,1633195.939,1503.866953,1503.863664,1086,7.311792392,53.46230799,1503.881439,1516.07535,1516.07535,1491.658472,9334873.19,8591.736328,8595.647505,1086,24.53773812,602.1005919,8595.682529,8657.291992,8657.291992,8536.886719,3018.974545,2.778227925,2.779902896,1086,0.010636288,0.000113131,2.779923244,2.909104347,2.909104347,2.771566629,907362.7545,835.5103486,835.5089821,1086,0.007115028,5.06236E-05,835.5089821,835.518993,835.518993,835.4910831,1362491.846,1254.597973,1254.596543,1086,0.018901499,0.000357267,1254.596543,1254.629341,1254.629341,1254.553825,14407791,13267,13266.84254,1086,350.963011,123175.0351,13271.48394,13853,13853,12681,512,0,0.47145488,1086,15.52941174,241.162629,15.5365665,512,512,0,0
1,TIC 238374636,1633195.885,1503.866903,1503.863614,1086,7.311866909,53.46339769,1503.881389,1516.075425,1516.075425,1491.658299,22396034.74,20624.625,20622.49976,1086,28.2846585,800.0219065,20622.51916,20677.78516,20677.78516,20512.88086,4585.769536,4.220930338,4.222623882,1086,0.012501424,0.000156286,4.222642387,4.39415741,4.39415741,4.212199688,2034243.887,1873.153783,1873.15275,1086,0.007341077,5.38914E-05,1873.15275,1873.165232,1873.165232,1873.136564,1307195.757,1203.681437,1203.679334,1086,0.022165968,0.00049133,1203.679334,1203.717216,1203.717216,1203.627889,14407791,13267,13266.84254,1086,350.963011,123175.0351,13271.48394,13853,13853,12681,3584,0,3.300184162,1086,40.97319948,1678.803075,41.1058912,512,512,0,0
1,TIC 388624270,1287077.034,1526.231832,1528.595052,842,8.018464016,64.29576518,1528.616083,1541.992317,1541.992317,1517.408789,14857801.63,17614.67578,17645.84516,842,64.4552772,4154.482759,17645.96288,17824.03516,17824.03516,17500.75586,3317.344634,3.923413038,3.939839232,842,0.083726014,0.007010045,3.940728768,4.973983765,4.973983765,3.912377357,603519.1945,716.779663,716.7686395,842,0.028315495,0.000801767,716.7686401,716.8002592,716.8002592,716.6983643,1558436.069,1850.875947,1850.874191,842,0.024014737,0.000576708,1850.874192,1850.908627,1850.908627,1850.825638,12170213,14340.5,14453.93468,842,384.8833297,148135.1774,14459.05816,15097,15097,13917,192512,0,228.6365796,842,2057.108109,4231693.771,2069.774977,32768,32768,0,0
1,TIC 361413119,1766027.688,1555.388022,1555.971531,1135,7.384445904,54.5300413,1555.989054,1568.450663,1568.450663,1543.32529,16985878.72,14963.49902,14965.53191,1135,30.31766788,919.1609855,14965.56262,15450.38086,15450.38086,14883.98828,4128.899203,3.594542265,3.637796654,1135,0.187492684,0.035153507,3.642625153,6.535957813,6.535957813,3.586131334,1609810.393,1418.336228,1418.335148,1135,0.011638137,0.000135446,1418.335148,1418.356275,1418.356275,1418.299808,1985425.599,1749.275544,1749.273655,1135,0.016221906,0.00026315,1749.273655,1749.300586,1749.300586,1749.232455,17896690,15740,15768.00881,1135,354.4481694,125633.5048,15771.99212,16367,16367,15161,303104,0,267.0519824,1135,1011.201344,1022528.159,1045.870413,4096,4096,0,0
1,TIC 463402815,239009687.4,2293.914196,2293.450855,104214,7.380315414,54.46905561,2293.46273,2305.99289,2305.99289,2280.905505,2478954215,23785.68359,23787.15158,104214,98.17050481,9637.448014,23787.35415,24441.20898,24441.20898,23082.73828,4097836.001,38.82018852,39.32135798,104214,2.043854576,4.177341528,39.37444012,72.28145599,72.28145599,38.37890625,85741293.26,822.7425948,822.7425611,104214,0.011326437,0.000128288,822.7425612,822.8163749,822.8163749,822.6624244,148516186.5,1425.107646,1425.107821,104214,0.015216629,0.000231546,1425.107821,1425.194193,1425.194193,1425.012694,4.79915E+11,4607094.5,4605092.972,104214,31882.51859,1016494992,4605203.337,4659274,4659274,4550898,102304384,0,981.6760128,104214,4843.869614,23463072.84,4942.343638,33792,33792,0,0
1,TIC 370745311,1766027.149,1555.387541,1555.971057,1135,7.384488529,54.53067084,1555.98858,1568.450268,1568.450268,1543.324751,16265040.02,14330.7959,14330.43173,1135,28.71353418,824.4670453,14330.4605,14416.42676,14416.42676,14248.43359,4012.644735,3.506880999,3.535369811,1135,0.135358465,0.018321914,3.537960092,5.619326591,5.619326591,3.499405384,2337580.038,2059.542557,2059.541884,1135,0.013266987,0.000176013,2059.541884,2059.567572,2059.567572,2059.505441,1015351.198,894.5849078,894.582553,1135,0.02010773,0.000404321,894.5825532,894.6152922,894.6152922,894.5287492,17896690,15740,15768.00881,1135,354.4481694,125633.5048,15771.99212,16367,16367,15161,868352,0,765.0678414,1135,4370.798526,19103879.75,4437.252366,32768,32768,0,0
1,TIC 144065872,24473036.98,1338.149078,1338.860823,18279,8.162963317,66.63397011,1338.885707,1353.180947,1353.180947,1325.300292,429377030.7,23500.5918,23490.18167,18279,72.18383145,5210.505523,23490.29258,26348.64063,26348.64063,23032.52344,317743.7464,17.38190079,17.38299395,18279,0.090163849,0.00812952,17.38322778,17.69734955,17.69734955,17.17024231,30402138.92,1663.227622,1663.227689,18279,0.00559062,3.1255E-05,1663.227689,1663.340579,1663.340579,1663.132042,18119806.73,991.2957464,991.29092,18279,0.025829771,0.000667177,991.2909203,991.3780254,991.3780254,991.1890754,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,544,0,0.029760928,18279,3.790565988,14.36839051,3.790682817,512,512,0,0
